phase,task,workers,connections,run,requests_per_sec,latency_avg_ms,latency_stdev_ms,latency_max_ms,latency_p50_ms,latency_p75_ms,latency_p90_ms,latency_p99_ms,total_requests,socket_errors_connect,socket_errors_read,socket_errors_write,socket_errors_timeout,non_2xx_responses
main,io,2,8,4,79.17,100.87,15.9,179.16,95.37,107.7,123.96,152.63,4751,0,0,0,0,0
main,io,2,8,5,74.55,107.1,31.39,235.65,93.96,109.19,173.4,209.78,4479,0,0,0,0,0
main,io,2,64,1,85.83,737.71,49.88,826.86,739.99,754.99,772.16,807.56,5152,0,0,0,0,0
main,io,2,64,2,84.11,755.13,65.05,892.49,747.04,769.07,849.58,881.78,5055,0,0,0,0,0
main,io,2,64,3,71.85,881.13,164.0,1570.0,853.36,907.94,1040.0,1510.0,4312,0,0,0,0,0
main,io,2,64,4,74.2,852.07,129.96,1300.0,826.28,882.82,1000.0,1280.0,4459,0,0,0,0,0
main,io,2,64,5,85.59,742.85,55.19,981.99,741.29,752.66,777.88,916.21,5144,0,0,0,0,0
main,io,4,8,1,126.05,63.33,12.87,159.53,59.35,67.43,80.34,111.3,7570,0,0,0,0,0
main,io,4,8,2,118.07,67.6,14.4,142.09,64.42,75.63,86.89,111.47,7088,0,0,0,0,0
main,io,4,8,3,97.83,81.59,15.25,161.09,78.61,89.73,102.07,127.96,5874,0,0,0,0,0
main,io,4,8,4,126.99,62.86,11.92,150.91,59.36,66.54,79.1,105.08,7627,0,0,0,0,0
main,io,4,8,5,115.25,69.33,17.88,184.31,63.54,77.31,93.59,131.07,6925,0,0,0,0,0
main,io,4,64,1,124.79,509.98,60.83,706.33,487.51,527.48,609.34,659.73,7497,0,0,0,0,0
main,io,4,64,2,108.82,583.66,138.93,957.5,515.6,704.82,811.56,890.73,6537,0,0,0,0,0
main,io,4,64,3,116.75,544.56,90.6,889.98,505.1,610.14,668.3,798.51,7012,0,0,0,0,0
main,io,4,64,4,103.14,617.73,85.54,918.27,609.48,643.32,726.25,861.04,6194,0,0,0,0,0
main,io,4,64,5,98.6,645.94,97.43,912.53,657.49,707.77,756.95,874.48,5923,0,0,0,0,0
main,io,6,8,1,151.2,52.77,12.01,139.81,50.65,59.3,68.53,90.56,9086,0,0,0,0,0
main,io,6,8,2,138.71,57.55,15.02,152.42,55.15,65.01,75.84,110.07,8334,0,0,0,0,0
main,io,6,8,3,110.81,72.03,19.43,166.8,68.12,80.97,96.97,139.14,6655,0,0,0,0,0
main,io,6,8,4,114.88,69.48,18.44,163.39,66.15,78.04,93.54,129.56,6901,0,0,0,0,0
main,io,6,8,5,142.34,56.12,14.79,158.2,53.38,63.18,74.15,109.43,8550,0,0,0,0,0
main,io,6,64,1,132.9,478.89,94.33,836.93,432.79,554.59,624.87,715.68,7981,0,0,0,0,0
main,io,6,64,2,128.74,494.49,76.32,664.77,517.66,553.5,582.38,628.58,7727,0,0,0,0,0
main,io,6,64,3,104.39,609.47,63.47,801.17,605.36,645.75,688.97,758.46,6268,0,0,0,0,0
main,io,6,64,4,118.45,537.35,41.82,673.12,538.41,559.84,581.42,629.63,7108,0,0,0,0,0
main,io,6,64,5,127.09,501.31,60.09,826.47,499.02,538.13,568.22,679.39,7630,0,0,0,0,0
main,io,8,8,1,154.68,51.54,9.7,124.4,50.26,57.33,64.66,80.05,9292,0,0,0,0,0
main,io,8,8,2,148.85,53.57,10.92,114.87,51.88,59.47,68.08,86.53,8943,0,0,0,0,0
main,io,8,8,3,151.79,52.53,10.89,134.98,50.68,58.69,67.26,84.7,9120,0,0,0,0,0
main,io,8,8,4,155.04,51.42,9.88,116.22,49.92,56.72,64.48,81.4,9315,0,0,0,0,0
main,io,8,8,5,147.8,53.93,11.2,120.18,52.29,60.48,68.74,86.76,8879,0,0,0,0,0
main,io,8,64,1,131.38,484.77,43.75,617.59,480.57,510.19,537.69,586.3,7889,0,0,0,0,0
main,io,8,64,2,127.96,497.64,44.04,706.05,496.56,522.5,547.76,606.95,7687,0,0,0,0,0
main,io,8,64,3,132.47,480.67,44.16,843.46,477.74,495.64,514.57,583.61,7960,0,0,0,0,0
main,io,8,64,4,141.32,450.6,43.72,615.96,449.39,476.0,502.39,550.74,8487,0,0,0,0,0
main,io,8,64,5,155.7,409.18,45.59,569.68,392.95,442.73,470.35,519.48,9356,0,0,0,0,0
main,io,12,8,1,157.05,50.76,10.03,100.79,49.5,56.65,63.68,80.62,9433,0,0,0,0,0
main,io,12,8,2,142.85,55.89,13.94,141.69,53.61,62.94,73.69,100.29,8581,0,0,0,0,0
main,io,12,8,3,128.51,62.08,13.78,147.85,59.95,69.0,79.55,105.4,7718,0,0,0,0,0
main,io,12,8,4,136.08,58.62,12.39,142.6,56.93,65.67,74.3,96.99,8174,0,0,0,0,0
main,io,12,8,5,132.09,60.39,12.55,132.8,58.59,67.17,76.63,98.49,7933,0,0,0,0,0
main,io,12,64,1,155.19,410.66,41.65,633.54,403.39,425.96,465.07,534.21,9321,0,0,0,0,0
main,io,12,64,2,154.79,411.21,42.71,595.23,404.17,427.4,471.08,530.66,9302,0,0,0,0,0
main,io,12,64,3,152.22,418.7,46.08,607.28,410.81,437.65,486.5,543.25,9142,0,0,0,0,0
main,io,12,64,4,146.52,434.71,44.95,628.66,426.0,455.94,495.77,564.26,8801,0,0,0,0,0
main,io,12,64,5,154.75,411.6,45.5,601.56,402.7,428.83,479.72,540.9,9298,0,0,0,0,0
main,io,16,8,1,149.45,53.36,11.6,117.64,51.81,59.82,68.39,89.09,8979,0,0,0,0,0
main,io,16,8,2,141.01,56.58,13.18,132.27,54.67,63.8,73.62,97.42,8468,0,0,0,0,0
main,io,16,8,3,130.69,61.04,13.81,144.36,59.21,68.3,79.14,103.65,7852,0,0,0,0,0
main,io,16,8,4,150.74,52.92,11.75,128.48,51.11,59.36,67.88,90.6,9054,0,0,0,0,0
main,io,16,8,5,148.18,53.82,11.89,116.15,51.9,60.38,69.6,90.18,8898,0,0,0,0,0
main,io,16,64,1,152.34,418.19,42.74,639.75,414.44,439.22,467.52,549.05,9145,0,0,0,0,0
main,io,16,64,2,149.57,425.81,49.33,693.3,419.2,447.86,487.08,574.28,8982,0,0,0,0,0
main,io,16,64,3,149.15,427.21,48.32,653.8,421.13,450.41,485.6,577.75,8959,0,0,0,0,0
main,io,16,64,4,150.57,423.14,47.2,642.87,417.11,445.23,482.53,562.1,9045,0,0,0,0,0
main,io,16,64,5,149.78,425.8,47.17,686.95,420.37,448.87,485.29,562.89,8995,0,0,0,0,0
main,io,24,8,1,143.8,55.47,13.73,127.74,53.24,62.79,73.47,98.63,8640,0,0,0,0,0
main,io,24,8,2,132.69,60.14,14.09,144.24,57.93,67.71,78.88,102.78,7973,0,0,0,0,0
main,io,24,8,3,132.48,60.25,14.7,160.52,58.03,67.68,79.41,105.89,7954,0,0,0,0,0
main,io,24,8,4,150.96,52.85,13.11,134.03,50.69,59.44,69.53,94.77,9067,0,0,0,0,0
main,io,24,8,5,137.79,57.88,14.19,134.94,55.87,65.81,76.49,100.93,8277,0,0,0,0,0
main,io,24,64,1,138.94,458.68,63.11,806.33,454.73,496.35,541.62,615.98,8346,0,0,0,0,0
